Compounds,Total energy (eV),"Formation enthalpy (experiment, eV)",Element,Total energy (eV)
PdS2,-52.07822531,-0.28,,
Pd4S,-137.5487458,-0.14,,
PtO,-76.07449591,-0.37,,
PtO2,-83.55240142,-0.57,,
PtS,-79.72197769,-0.42,,
PtS2,-89.69851736,-0.38,,
Pt3O4,-236.0952845,-0.4,,
RbCl,-33.04149393,-2.26,,
RbF,-29.96982349,-2.89,,
RbSb,-59.0337129,-0.52,,
RbSb2,-96.31411523,-0.35,,
Rb2O,-50.95562005,-1.17,,
Rb2O2,-58.5697498,-1.22,,
Rb2S,-54.71519515,-1.25,,
Rb3Sb,-101.2744897,-0.45,,
RhCl3,-59.61051217,-0.78,,
RhO2,-47.71923788,-0.85,,
Rh2O3,-88.43539464,-0.84,,
Rh2S3,-96.4563451,-0.54,,
ScAs,-36.34614057,-1.39,,
ScCl3,-46.45742366,-2.4,,
ScF3,-40.45527222,-4.22,,
Sc2O3,-64.09598176,-3.94,,
SiO2,-31.59254671,-3.13,,
SiS2,-31.52893228,-0.88,,
SiSe2,-51.64600001,-0.61,,
Si3N4,-76.58657506,-1.1,,
SnO,-44.87662679,-1.48,,
SnO2,-54.00096414,-1.97,,
SnS,-46.42852054,-0.57,,
SnS2,-56.47811988,-0.53,,
SnSe,-56.78107682,-0.47,,
SnSe2,-77.11769398,-0.43,,
SrO,-34.52073046,-3.07,,
SrO2,-41.10916441,-2.19,,
SrS,-36.81009313,-2.45,,
Sr2Bi,-125.6532094,-1.08,,
Sr2Sb,-84.71477287,-1.11,,
TaN,-76.32475775,-1.3,,
TaS2,-87.09438222,-1.22,,
TiAs,-36.31705328,-0.78,,
TiCl4,-54.50311013,-1.7,,
TiN,-27.10551582,-1.58,,
TiO2,-36.29581565,-3.26,,
TiS,-26.92865126,-1.41,,
TiS2,-37.94162523,-1.41,,
Ti2O3,-62.60347772,-3.15,,
VF4,-44.71346922,-2.91,,
VN,-26.98509104,-1.13,,
VO,-27.27041299,-2.24,,
VO2,-35.65666322,-2.47,,
V2O3,-64.11548925,-2.53,,
V2O5,-77.90064805,-2.29,,
YAs,-50.80541685,-1.68,,
YCl3,-61.27978647,-2.59,,
YF3,-55.63407882,-4.45,,
Y2O3,-92.3755182,-3.95,,
ZnCl2,-33.08220523,-1.43,,
ZnF2,-28.22681217,-2.64,,
ZnO,-22.98543076,-1.81,,
ZnP2,-34.74736438,-0.21,,
ZnS,-24.70463706,-1.07,,
ZnSb,-50.29101119,-0.08,,
ZnSe,-34.78910938,-0.85,,
ZnTe,-51.27108532,-0.61,,
Zn3As2,-80.38119478,-0.28,,
Zn3N2,-58.81005956,-0.05,,
Zn3P2,-61.19561937,-0.33,,
ZrN,-42.63545221,-1.89,,
ZrO2,-53.44579307,-3.8,,
ZrS2,-54.19350439,-1.96,,
